Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,GTAP sector,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,10,Australia,5312,Area harvested,221,"Almonds, with shell",v_f,2016,2016,ha,20550,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,711,"Anise, badian, fennel, coriander",ocr,2016,2016,ha,890,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,515,Apples,v_f,2016,2016,ha,19212,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,526,Apricots,v_f,2016,2016,ha,8755,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,367,Asparagus,v_f,2016,2016,ha,1530,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,572,Avocados,v_f,2016,2016,ha,14161,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,486,Bananas,v_f,2016,2016,ha,16612,,Official data
QC,Crops,10,Australia,5312,Area harvested,44,Barley,gro,2016,2016,ha,4107648,,Official data
QC,Crops,10,Australia,5312,Area harvested,176,"Beans, dry",ocr,2016,2016,ha,38066,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,414,"Beans, green",v_f,2016,2016,ha,6795,,Official data
QC,Crops,10,Australia,5312,Area harvested,558,Berries nes,v_f,2016,2016,ha,1882,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,552,Blueberries,v_f,2016,2016,ha,913,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,181,"Broad beans, horse beans, dry",ocr,2016,2016,ha,350457,,Official data
QC,Crops,10,Australia,5312,Area harvested,358,Cabbages and other brassicas,v_f,2016,2016,ha,2343,,Official data
QC,Crops,10,Australia,5312,Area harvested,101,Canary seed,gro,2016,2016,ha,6991,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,426,Carrots and turnips,v_f,2016,2016,ha,5245,,Official data
QC,Crops,10,Australia,5312,Area harvested,393,Cauliflowers and broccoli,v_f,2016,2016,ha,9661,,Official data
QC,Crops,10,Australia,5312,Area harvested,531,Cherries,v_f,2016,2016,ha,2858,Im,FAO data based on imputation methodology
QC,Crops,10,Australia,5312,Area harvested,191,Chick peas,ocr,2016,2016,ha,677444,,Official data
QC,Crops,10,Australia,5312,Area harvested,401,"Chillies and peppers, green",v_f,2016,2016,ha,1778,,Official data
QC,Crops,10,Australia,5312,Area harvested,195,"Cow peas, dry",ocr,2016,2016,ha,,M,Data not available
QC,Crops,10,Australia,5312,Area harvested,397,Cucumbers and gherkins,v_f,2016,2016,ha,600,Im,FAO data based on imputation methodology
