qo,aus,nzl,xoc,chn,hkg,jpn,kor,mng,twn,xea,brn,khm,idn,lao,mys,phl,sgp,tha,vnm,xse,bgd,ind,npl,pak,lka,xsa,can,usa,mex,xna,arg,bol,bra,chl,col,ecu,pry,per,ury,ven,xsm,cri,gtm,hnd,nic,pan,slv,xca,dom,jam,pri,tto,xcb,aut,bel,cyp,cze,dnk,est,fin,fra,deu,grc,hun,irl,ita,lva,ltu,lux,mlt,nld,pol,prt,svk,svn,esp,swe,gbr,che,nor,xef,alb,bgr,blr,hrv,rou,rus,ukr,xee,xer,kaz,kgz,xsu,arm,aze,geo,bhr,irn,isr,jor,kwt,omn,qat,sau,tur,are,xws,egy,mar,tun,xnf,bfa,cmr,civ,gha,gin,nga,sen,tgo,xwf,xcf,xac,eth,ken,mdg,mwi,mus,moz,rwa,tza,uga,zmb,zwe,xec,bwa,nam,zaf,xsc,xtw
land,0,-0.0668,-0.6248,0,-4.2842,-0.284,-0.061,0,-0.071,-0.0426,-0.355,0,-0.0184,0,-0.0142,-0.061,-7.0958,-0.0042,-0.01,-0.0042,0,0,0,0,-0.0142,0,-0.0284,0,-0.0042,-2.201,0,0,0,-0.0284,-0.0042,-0.0184,0,-0.01,0,-0.01,-0.0852,-0.0426,-0.0042,-0.0142,-0.0142,-0.0142,-0.0668,-0.1562,-0.0326,-0.142,-0.1746,-0.4076,-0.0894,0,0,-0.1278,0,-0.0184,0,0,0,0,-0.0284,0,-0.0042,-0.01,-0.0042,0,0,-0.0426,0,0,-0.01,0,-0.0042,0,0,-0.01,0,-0.0284,0,-0.0042,0,0,-0.2272,0,-0.01,0,0,0,0,0,0,0,0,-0.0042,-0.9188,0,-0.0184,0,-0.1562,-0.0568,-0.3976,0,-0.01,-0.1136,0,-0.0384,0,-0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0042,0,-0.0852,0,0,0,0,0,0,0,0,0,0,0,-0.3792
unsklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capital,-0.174366,0.901136,-3.687584,-1.344965,-2.091596,-0.478974,-0.181072,-2.192671,-3.221409,-6.576664,-2.747835,-7.907462,-10.347183,-9.013844,-8.113584,-11.18552,-6.636821,-4.611201,-4.828159,-11.070058,-5.432925,-7.115,-4.150349,-3.166536,-8.520965,-6.967816,0.879069,0.401267,-0.228459,0.533268,0.076785,-0.723713,-3.269829,0.35866,-4.714863,-0.917714,-4.050348,-0.339442,-0.047078,-2.966139,0.048891,-5.51932,-0.738226,-7.919342,-8.44335,-7.777045,-2.992024,-5.939727,-5.246484,-5.30784,-5.115682,-4.758117,-6.558145,0.974638,0.756418,0.432363,1.141587,0.742573,0.508086,1.052182,0.928634,0.806678,1.098845,1.108225,0.758153,1.149608,0.97719,1.324536,0.918395,1.14125,0.850617,1.084004,0.938169,1.369388,0.721324,0.928543,0.759791,0.725882,0.468129,0.116547,0.988035,-0.113161,1.226677,1.017744,0.939321,0.883196,0.13365,1.385373,2.721937,1.490227,-0.122233,-0.660148,0.301833,0.274915,-1.396706,-0.330953,-2.076533,-1.374824,-0.873078,-0.937499,-2.380119,-1.905793,-3.610396,-3.188241,0.78758,-4.092231,-1.803385,-2.110867,-0.090478,-0.910498,-1.241382,-10.850533,-7.366726,-12.344336,-12.649339,-5.873988,-7.490232,-9.02642,-14.589307,-12.685641,-3.716272,-2.283182,-3.271705,-2.698376,-4.537498,-5.018913,-4.952387,-4.979221,-3.167628,-4.121977,-4.704685,-2.199463,-2.32396,-7.030399,-0.748525,0.092322,-0.289899,-0.621845,0.081081
natres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdr,3.726963,2.48073,7.010617,-1.537747,-1.228731,-0.899841,-2.174232,1.400972,-1.14974,-6.513895,-3.713054,-9.547988,-7.889289,-8.280187,-4.400113,-9.066319,-3.343633,-7.991717,-4.724133,-11.418754,-5.462891,-5.835786,-5.131145,-2.595459,-7.389691,-7.85157,-1.027549,1.67062,-3.315986,0.575202,0.627221,-0.925568,-0.194657,-0.986399,-3.666487,0.002375,-3.460916,-1.977077,-0.325911,-6.175112,-0.398335,-3.854547,-2.981253,-10.8545,-11.15378,-9.070851,-4.664047,-3.617068,-3.553972,-29.667877,-3.777393,-12.937651,-9.120016,6.417613,28.234949,4.177054,5.790659,7.100342,-1.236575,3.508862,0.884261,4.073055,1.170638,-3.364382,5.55132,1.836876,0.383783,10.428479,6.010786,2.274721,5.275181,3.175671,2.077922,3.647432,0.729054,2.958667,3.9562,8.845071,-1.370275,1.49093,3.874507,-2.722889,-2.970182,0.192626,0.489022,-2.791132,-1.040918,1.057685,0.611264,-1.182822,0.988227,0.522121,1.376477,3.364234,-2.079292,3.2912,-2.116251,-1.677604,-4.492023,-1.367162,4.35311,-3.014813,-3.60785,8.884317,0.189788,12.693361,-3.851788,-3.051432,-0.671038,-6.816796,-3.251967,-41.500784,-5.310934,-14.624107,-14.338151,-9.302642,-16.734363,-20.891714,-20.589129,-15.422827,-11.523927,-3.619097,-4.871759,-5.319542,-9.108765,-9.048473,-9.226285,-7.022132,-5.468966,-7.67073,-4.409215,-4.720293,-0.343215,-8.156304,-6.383502,-1.371625,0.669437,-0.926357,-0.485804
wht,-17.837607,11.010593,-32.997615,-1.447538,-20.224562,-12.724223,-14.13808,-0.554166,-27.968963,-22.895429,-73.333954,-48.838791,-62.75836,-17.591972,-78.282319,-54.78384,-49.489643,-28.328199,-59.764768,-47.685421,-25.452372,-7.992069,-5.041922,-8.748336,-64.095374,-11.882764,37.175351,-8.18778,-27.444932,1.837486,-0.988861,-5.672316,-31.948507,-4.083199,-48.568397,-61.664664,-27.556145,-22.946243,-11.540328,-45.29662,-27.056119,-66.556576,-31.202864,-48.50152,-59.768947,-63.080618,-59.556211,-79.026497,-75.667915,-70.415952,-39.902729,-61.261021,-29.310754,1.655927,5.103229,-23.11755,-0.753393,7.607064,5.168981,29.561882,8.062935,5.9054,-8.569255,-0.814854,2.858517,-3.384426,8.974077,11.308495,0.393373,-19.778347,6.782965,1.665539,-11.697615,1.566806,-3.231881,-8.065801,17.27543,6.989558,-0.267985,13.871477,0.221643,-9.357115,1.750381,1.241456,-1.501928,-1.732262,26.35498,1.303904,-0.512772,2.38201,3.389796,-7.094058,0.973001,-3.178206,-4.081208,-3.430948,-23.95706,-2.4769,-13.496902,-15.209494,-17.9888,-32.599412,-16.21905,-4.391075,-3.969719,-45.345119,-12.039974,-23.242987,-9.411034,-21.063949,-22.073819,-64.83427,-65.245902,-80.173096,-65.187247,-57.284212,-82.081902,-64.708686,-83.406145,-69.124038,-56.05677,-35.756307,-28.162813,-84.219,-50.451721,-60.167357,-49.997646,-52.258159,-40.274694,-47.393556,-64.246667,-8.241916,-17.201153,-42.9191,-13.437292,-21.133771,-6.939246,-10.837414,0.855966
gro,0.152344,1.497543,-6.359509,-0.460047,-4.096632,-3.637494,-4.842257,-0.263836,-2.918316,-7.933723,-7.425433,-9.560023,-10.120674,-6.05618,-9.259897,-10.825291,-9.602252,-9.06693,-6.626152,-11.023776,-6.450851,-6.357462,-5.469866,-3.404116,-9.40041,-7.59598,2.599613,-1.021751,-2.818063,0.138934,-1.483485,-2.003722,-3.362163,-0.593248,-6.64183,-0.645089,-3.690313,-3.167502,-1.685548,-6.200129,-1.582711,-9.198618,-2.51303,-7.875128,-8.964432,-10.799599,-4.259341,-0.578247,-7.689226,-8.695404,-6.247648,-15.679648,-8.977631,1.787304,1.914291,-2.650056,-0.715977,1.972859,-0.345578,3.147493,1.037727,0.207977,-1.592809,-0.68757,2.139695,0.181872,-2.739097,0.714524,-0.207845,-1.618295,-0.207319,0.224159,0.399806,0.313842,-0.745234,-0.23782,1.41072,1.527073,0.375546,1.066361,2.272102,-1.335005,1.402024,0.19696,-0.091792,-0.687047,0.02602,-0.742486,-1.067136,0.913427,1.082022,-1.097956,-0.734206,-0.82286,-2.394007,-0.984511,-1.574489,-1.938469,-2.38338,-1.176557,-5.421048,-3.591071,-5.161411,-6.731638,-0.721762,-3.324304,-2.663243,-4.498408,-1.734161,-4.678299,-3.910936,-15.587005,-9.526733,-14.123614,-15.552424,-9.463102,-16.191076,-11.659336,-15.595154,-15.010597,-7.032376,-3.642362,-5.073378,-5.463752,-7.761399,-8.681909,-8.110708,-8.183327,-6.553119,-7.936562,-6.128419,-4.79542,-3.064979,-5.409737,-1.802967,-0.568659,0.281029,-2.022696,1.025497
v_f,-0.626705,3.684748,-6.494061,-0.833224,-8.250291,-2.133763,-4.295669,3.335639,-3.798251,-10.442555,-13.89359,-11.861434,-10.127801,-8.778122,-14.660359,-14.107772,-19.589398,-10.711277,-10.721734,-11.219368,-7.845301,-7.161782,-5.012882,-4.950585,-9.802341,-8.607396,14.664273,4.138318,-6.530531,0.140447,-1.462735,-4.152867,-4.655158,6.928333,-7.133168,-8.256003,-3.79991,-5.365113,-1.393635,-3.842409,-4.008821,-15.039349,-5.308017,-9.995695,-10.269853,-20.26097,-4.486087,0.982216,-9.617204,-12.265269,-7.773574,-21.430837,-8.676074,9.245915,7.684201,-6.301894,5.124543,8.348813,3.436279,3.8524,6.637976,7.929366,-2.300594,7.344611,11.286721,-2.212866,2.037615,6.106986,7.411069,-2.124334,7.860155,5.13196,-1.067345,4.426531,2.640675,-0.835622,8.924636,7.793525,3.027537,6.716207,5.32409,-1.566345,-4.877547,0.741548,-1.140014,0.464865,2.433243,0.85013,1.814656,1.555141,0.049121,2.93877,1.034953,0.702133,-3.067034,1.843338,-7.141505,-2.339304,-1.515935,0.214198,-6.939314,-6.308431,-8.253466,-6.37732,-2.084435,-6.102971,-2.936643,-4.376339,-0.61153,-2.945805,-3.058822,-23.839266,-10.218854,-18.593489,-16.717674,-16.59607,-16.462845,-16.129714,-20.001527,-21.444407,-9.159864,-5.345214,-5.337821,-6.492456,-10.657355,-9.191732,-6.90293,-9.748232,-7.183918,-9.362161,-5.617118,-5.389792,-5.518103,-7.556661,-2.947034,-2.626771,-1.290044,-2.308524,-0.048105
osd,-4.884584,1.185474,-15.434648,1.962713,-16.360511,-17.238819,-14.278257,42.855274,-14.71743,-25.213642,-13.102579,-11.983806,-14.619861,-9.609132,-15.37383,-13.634633,-19.623615,-18.620171,-17.183864,-12.512047,-8.233299,-8.274344,-3.98417,-5.09855,-12.277002,-9.498159,12.532545,6.047983,-17.136997,1.159483,-4.935053,-8.817492,-10.320671,1.226957,-9.074191,-0.895874,-11.599226,-3.878748,-7.730996,-17.219395,-6.528929,-18.254455,-6.552061,-14.424991,-24.727681,-13.002159,-3.316028,-2.201588,-10.884526,-7.348288,-15.531542,-27.317493,-13.068874,12.703714,11.181202,-1.907304,4.218296,11.964279,4.476644,11.530687,7.019023,6.317369,1.195431,2.740336,10.503123,0.191493,5.395543,3.605081,13.816298,-4.396991,4.327176,3.93388,2.955329,5.322262,4.742577,0.435737,11.283762,7.588338,12.674305,12.55021,12.979316,-1.154043,-0.117747,1.002135,-1.882365,5.371276,7.359594,7.34485,3.097079,2.625697,10.406815,1.666803,6.290997,-0.140614,-6.291876,10.599937,52.059353,-3.528255,-8.428286,-3.715299,-1.711608,-4.4456,3.697843,-4.840071,-5.569669,-7.940204,-5.106797,-9.566858,-2.814889,-12.01956,1.975173,-43.671997,-9.191315,-10.170111,-17.091886,-11.010358,-20.004667,-14.236421,-30.750536,-23.660532,-9.590537,-4.253012,-17.029463,-5.533003,-9.566357,-8.452053,-15.189841,-14.792756,-7.268565,-12.005952,-13.580638,-5.541238,-1.515855,-12.863325,-1.986554,-0.886959,0.332654,-0.132729,-5.109102
