,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
,,,years from 2017,2017,2019,2021,2023,2025,2027,2029,2031,2033,2035,2037,2039,2041,2043,2045,2047,2051,2055,2059,2063,2067,2071,2075,2079,2083,2087,2091,2095,2099,2103,2107,2113,2119,2125,2131,2137,2145,2153,2161,2169,2177,2185,2201,2217
,,,qo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,,land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,unsklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,sklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,capital,0,0.002736,0.005207,0.007405,0.009323,0.010955,0.012306,0.013367,0.014138,0.014622,0.014819,0.014733,0.014368,0.013727,0.012821,0.011648,0.008777,0.004871,-0.000029,-0.005875,-0.012653,-0.020338,-0.028913,-0.038373,-0.048723,-0.060016,-0.072316,-0.085727,-0.100397,-0.116572,-0.133094,-0.157508,-0.180945,-0.202998,-0.223497,-0.242406,-0.265546,-0.28606,-0.304174,-0.32014,-0.33416,-0.34644,-0.367852,-0.383452
,,,natres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,pdr          , Paddy rice,pdr,-0.025502,-0.001056,0.023305,0.047566,0.071683,0.095745,0.119624,0.143389,0.167092,0.190633,0.214059,0.237416,0.260636,0.283833,0.306863,0.329799,0.375541,0.42098,0.466122,0.511059,0.555824,0.60048,0.645149,0.689961,0.734992,0.780346,0.826329,0.873185,0.92112,0.927005,0.91883,0.90693,0.895726,0.88536,0.875853,0.867174,0.856643,0.847346,0.839272,0.832124,0.825841,0.820307,0.810529,0.802953
2,wht          , Wheat,wht,0.006922,0.223788,0.440939,0.657708,0.874484,1.091297,1.308369,1.525239,1.742027,1.95911,2.176052,2.39297,2.609951,2.827306,3.044383,3.261608,3.696512,4.131559,4.567123,5.002951,5.438681,5.875158,6.311594,6.748641,7.185996,7.623638,8.062075,8.500861,8.94072,9.041981,9.031722,9.018734,9.008579,9.000407,8.993658,8.987955,8.981412,8.975905,8.971331,8.967363,8.963865,8.960729,8.954984,8.949818
3,gro          , Cereal grains nec,gro,-0.008279,-0.039641,-0.071273,-0.103017,-0.134995,-0.167126,-0.199566,-0.231988,-0.264753,-0.297584,-0.330654,-0.363789,-0.39717,-0.430647,-0.464415,-0.498148,-0.566147,-0.634747,-0.703854,-0.773495,-0.843618,-0.91424,-0.985206,-1.056543,-1.128212,-1.200036,-1.272107,-1.344176,-1.416185,-1.438784,-1.444592,-1.452833,-1.460369,-1.467217,-1.473427,-1.479055,-1.485854,-1.491838,-1.497023,-1.501613,-1.505665,-1.509264,-1.515716,-1.521017
4,v_f          ," Vegetables, fruit, nuts ",v_f,-0.019883,-0.043662,-0.067716,-0.092041,-0.116502,-0.14117,-0.166065,-0.191217,-0.216485,-0.241925,-0.267546,-0.293396,-0.319342,-0.345429,-0.371691,-0.39816,-0.451343,-0.505209,-0.559489,-0.614296,-0.669375,-0.724884,-0.780535,-0.836324,-0.892279,-0.948081,-1.003729,-1.058826,-1.113368,-1.132207,-1.138745,-1.147716,-1.155572,-1.162494,-1.168634,-1.174111,-1.180653,-1.186329,-1.191249,-1.195561,-1.199343,-1.202673,-1.208553,-1.213111
5,osd          , Oil seeds,osd,-0.017243,-0.105309,-0.193392,-0.281551,-0.369499,-0.45748,-0.545467,-0.633576,-0.721544,-0.809538,-0.897532,-0.985718,-1.073747,-1.161828,-1.249949,-1.338225,-1.514544,-1.691039,-1.867519,-2.044222,-2.220769,-2.39759,-2.574171,-2.750702,-2.927285,-3.103506,-3.279644,-3.455133,-3.630242,-3.673459,-3.673414,-3.674258,-3.676034,-3.678229,-3.68058,-3.682935,-3.685958,-3.68885,-3.69125,-3.693545,-3.695598,-3.697459,-3.700901,-3.704051
