,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
,,,years from 2017,2017,2019,2021,2023,2025,2027,2029,2031,2033,2035,2037,2039,2041,2043,2045,2047,2051,2055,2059,2063,2067,2071,2075,2079,2083,2087,2091,2095,2099,2103,2107,2113,2119,2125,2131,2137,2145,2153,2161,2169,2177,2185,2201,2217
,,,qo,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,,,land,0,-0.0006,-0.0012,-0.0018,-0.0024,-0.003,-0.0036,-0.0042,-0.0048,-0.0055,-0.0061,-0.0067,-0.0073,-0.0079,-0.0085,-0.0091,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
,,,unsklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,sklab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,capital,0,-0.096118,-0.20377,-0.321754,-0.449052,-0.584787,-0.728208,-0.878671,-1.03562,-1.198574,-1.367117,-1.540881,-1.71955,-1.902842,-2.090504,-2.282314,-2.673835,-3.080392,-3.50049,-3.932746,-4.375793,-4.828159,-5.288166,-5.753744,-6.222341,-6.690385,-7.153338,-7.605036,-8.037098,-8.43826,-8.768733,-9.16607,-9.455655,-9.679243,-9.860374,-10.012592,-10.187672,-10.334284,-10.460476,-10.567803,-10.663786,-10.747687,-10.894812,-11.006344
,,,natres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,pdr          , Paddy rice,pdr,-0.095618,-0.246719,-0.400919,-0.557841,-0.717407,-0.879312,-1.043298,-1.209128,-1.376816,-1.546155,-1.716899,-1.888852,-2.062128,-2.236525,-2.411948,-2.588121,-2.941226,-3.296234,-3.653242,-4.01139,-4.368667,-4.724133,-5.077205,-5.42568,-5.767617,-6.099881,-6.419026,-6.721194,-6.998265,-7.140825,-7.230765,-7.340125,-7.420079,-7.480937,-7.528769,-7.567399,-7.609712,-7.650343,-7.665382,-7.698019,-7.71939,-7.737603,-7.769148,-7.793226
2,wht          , Wheat,wht,0.986953,-2.187848,-5.281487,-8.292864,-11.224281,-14.077077,-16.852974,-19.552012,-22.176256,-24.726884,-27.206434,-29.614663,-31.95386,-34.225268,-36.431522,-38.572369,-42.667665,-46.522275,-50.14795,-53.555467,-56.757946,-59.764768,-62.586875,-65.234226,-67.717576,-70.048867,-72.238449,-74.283156,-76.321718,-76.775763,-76.802243,-76.827605,-76.840298,-76.845753,-76.847164,-76.846449,-76.844258,-76.838334,-76.843247,-76.833201,-76.8296,-76.826534,-76.821132,-76.816438
3,gro          , Cereal grains nec,gro,0.013352,-0.205155,-0.426737,-0.651146,-0.878177,-1.10767,-1.339503,-1.573472,-1.809537,-2.047638,-2.287612,-2.529459,-2.773153,-3.018581,-3.265773,-3.514642,-4.016957,-4.525675,-5.041005,-5.562831,-6.091256,-6.626152,-7.167359,-7.714539,-8.26819,-8.82758,-9.392584,-9.96299,-10.534952,-10.737411,-10.798419,-10.871464,-10.923614,-10.963289,-10.995101,-11.021707,-11.052269,-11.076599,-11.102582,-11.119607,-11.136216,-11.150829,-11.176534,-11.195775
4,v_f          ," Vegetables, fruit, nuts ",v_f,0.087963,-0.300742,-0.690203,-1.080546,-1.471684,-1.863512,-2.256224,-2.649719,-3.044008,-3.439143,-3.835099,-4.231909,-4.629523,-5.028161,-5.427697,-5.828154,-6.632223,-7.439975,-8.252388,-9.069559,-9.892567,-10.721734,-11.557371,-12.400538,-13.251745,-14.112813,-14.985076,-15.869402,-16.776359,-17.010125,-17.01427,-17.020254,-17.024337,-17.027591,-17.030367,-17.032921,-17.036104,-17.036396,-17.047595,-17.046051,-17.047923,-17.049776,-17.053201,-17.055541
