,Estimate,Std. Error,z value,Pr(>|z|)
Australia,,,,
cropland,,,,
Intercept,2.054,0.116,17.709,<0.05
srtm,-0.001,0,-16.537,<0.05
slope,-29.924,0.383,-78.157,<0.05
bulk,3.141,0.05,63.006,<0.05
awco,-0.011,0,-40.373,<0.05
carb,-0.047,0.002,-26.301,<0.05
dibu,-0.522,0.004,-126.559,<0.05
dico,-0.247,0.005,-49.034,<0.05
diri,-0.577,0.013,-43.264,<0.05
diro,-4.068,0.047,-87.048,<0.05
bio2,-0.018,0.001,-36.259,<0.05
bio6,-0.025,0,-71.924,<0.05
bio9,0.012,0,72.15,<0.05
bio18,-0.004,0,-61.763,<0.05
bio19,0.001,0,11.61,<0.05
grass/shrubland,,,,
Intercept,-6.752,0.076,-88.769,<0.05
srtm,0.003,0,93.584,<0.05
slope,-10.487,0.212,-49.572,<0.05
bulk,0.74,0.029,25.676,<0.05
awco,0.007,0,42.396,<0.05
carb,0.009,0.002,6.16,<0.05
dibu,0.238,0.003,92.415,<0.05
dico,-0.111,0.003,-33.487,<0.05
diri,0.883,0.01,92.367,<0.05
diro,-0.779,0.018,-42.72,<0.05
bio2,0.032,0,70.052,<0.05
bio6,0.018,0,62.193,<0.05
bio9,-0.004,0,-33.219,<0.05
bio18,0.001,0,28.103,<0.05
bio19,-0.009,0,-94.782,<0.05
forest,,,,
Intercept,4.547,0.212,21.465,<0.05
srtm,-0.001,0,-26.016,<0.05
slope,20.904,0.273,76.584,<0.05
bulk,-1.062,0.099,-10.716,<0.05
awco,0.006,0.001,9.762,<0.05
carb,-0.008,0.003,-3.354,<0.05
dibu,0.033,0.007,4.89,<0.05
dico,-0.97,0.02,-48.383,<0.05
diri,0.828,0.039,21.512,<0.05
diro,0.413,0.062,6.614,<0.05
bio2,-0.06,0.001,-68.666,<0.05
bio6,-0.033,0.001,-49.59,<0.05
bio9,-0.005,0,-14.56,<0.05
bio18,0.006,0,65.755,<0.05
bio19,0.011,0,85.952,<0.05
urban,,,,
Intercept,-7.138,1.293,-5.521,<0.05
srtm,-0.003,0,-10.475,<0.05
slope,-16.096,2.436,-6.609,<0.05
bulk,2.736,0.536,5.1,<0.05
awco,0.021,0.003,8.262,<0.05
carb,0.085,0.01,8.43,<0.05
dibu,-1.299,0.047,-27.533,<0.05
dico,0.157,0.053,2.952,<0.05
diri,-0.816,0.224,-3.644,<0.05
diro,-32.69,1.406,-23.244,<0.05
bio2,-0.01,0.003,-3.821,<0.05
bio6,0.019,0.003,7.303,<0.05
bio9,-0.018,0.001,-13.071,<0.05
bio18,-0.002,0,-6.481,<0.05
bio19,-0.002,0,-3.746,<0.05
other,,,,
Intercept,-7.556,0.324,-23.306,<0.05
srtm,-0.023,0,-94.574,<0.05
slope,32.615,1.657,19.681,<0.05
bulk,-2.762,0.053,-51.914,<0.05
awco,-0.01,0,-37.586,<0.05
carb,0.163,0.005,31.575,<0.05
dibu,-0.102,0.007,-15.003,<0.05
dico,0.444,0.008,58.694,<0.05
diri,-0.417,0.021,-19.531,<0.05
diro,0.173,0.028,6.137,<0.05
bio2,0.083,0.002,40.909,<0.05
