"Estimate","Std. Error","z value","Pr(>|z|)"
"Intercept",-11.0649980709008,0.587897183012171,-18.8213150030892,5.05151646017052e-79
"slope",-10.8898760718539,0.319940392911989,-34.0372029075101,6.27714932057369e-254
"bulk",1.94107625413034,0.204307159016464,9.50077453709749,2.08334884175015e-21
"awco",-0.0109200041027091,0.00116078396705549,-9.40743877640681,5.08373362493063e-21
"dibu",-0.555401939852,0.0257892960298009,-21.5361419408348,7.14127446446471e-103
"dico",0.440450357574562,0.0326972539106665,13.4705611296268,2.33087842362003e-41
"diri",1.1709714015624,0.167048456761555,7.00977084292282,2.38708772288815e-12
"diro",-7.73117945402729,0.284798891792555,-27.1461009042782,2.8151363395554e-162
"bio2",-0.0263531376697463,0.00218380245009977,-12.0675465258051,1.56737861618308e-33
"bio3",0.0790771850903336,0.00307129835558762,25.7471518344899,3.46908745302311e-146
"bio8",0.0319821433799582,0.00111910172099882,28.5784060374901,1.2466031796285e-179
"bio12",-0.00159276015284548,6.35798152268795e-05,-25.051349192536,1.687736803862e-138
"bio15",0.0447667648424614,0.00232864991341299,19.2243430773366,2.31552815553559e-82
"bio17",0.012810849412096,0.000691554880558803,18.5247039276829,1.30519127283294e-76
"bio18",-0.000339147714475486,9.75317575015879e-05,-3.47730547632102,0.000506480414548107
"Intercept",8.95708270926238,0.616210776844885,14.5357449850591,7.19267426342238e-48
"slope",-3.92224951423362,0.251300144872369,-15.6078283051753,6.4391737902039e-55
"bulk",-2.92958468694496,0.286311870390593,-10.2321453977733,1.42330765243541e-24
"awco",0.0100121568506871,0.00193150229220943,5.18361116684684,2.17630411394156e-07
"dibu",0.26488855047498,0.0362489213707201,7.30748779435249,2.72183040138959e-13
"dico",0.534861360296285,0.0347208453569222,15.4046180269528,1.52386889349199e-53
"diri",-1.2323649226985,0.180428883633816,-6.83019757080361,8.47977662216726e-12
"diro",-5.28442738908687,0.276538165652132,-19.109215455397,2.11626513582989e-81
"bio2",0.0600869219843714,0.00236290931594471,25.4292120221922,1.19894345466866e-142
"bio3",-0.151698218615778,0.00386626849558393,-39.2363382907959,0
"bio12",0.00094358036039358,7.38729229447333e-05,12.7730205165904,2.31974491204644e-37
"bio15",-0.0614058144811183,0.00323701447941414,-18.9698918159402,3.02528534019458e-80
"bio17",-0.0295651609791495,0.00101759999722456,-29.0538139345387,1.37722119851605e-185
"bio18",-0.00221992502665003,0.000129541486378392,-17.1367882885457,7.88895887908816e-66
"Intercept",-15.5517155940472,0.877768812804502,-17.7173252993108,3.08223066042969e-70
"slope",11.3193372380699,0.261853508727449,43.2277470448244,0
"bulk",2.44593025726616,0.365235964638574,6.69684941811953,2.12960861442049e-11
"awco",0.0513477668308905,0.00239333753297086,21.4544610292191,4.14891003921235e-102
"dibu",0.119147542457461,0.0295567769096765,4.03114124458048,5.55066725399851e-05
"dico",-0.932246881205349,0.0325649713970454,-28.6272900362483,3.07431155875552e-180
"diri",1.78116777936176,0.178571883786232,9.97451413736549,1.97063552807079e-23
"diro",9.67128238412135,0.27666411135565,34.9567652151636,1.02202159822017e-267
"bio2",0.0609241358543703,0.00218228276638441,27.9176176400407,1.63074227726862e-171
"bio3",-0.0287388408131597,0.003237064584696,-8.87805604776298,6.80389553205262e-19
"bio8",-0.0263156599986737,0.0009295317385572,-28.3106632157825,2.55455190151568e-176
"bio12",0.000414925763830189,6.61595679357403e-05,6.27159119650237,3.57376878016565e-10
"bio15",-0.00828153119959857,0.00240504473545896,-3.44340006549533,0.000574448852453634
"bio17",0.0104120148402004,0.000684683493599686,15.2070481288512,3.17541905614916e-52
"bio18",0.00104464951543715,0.000106067972862814,9.84886848726972,6.93199614937348e-23
"Intercept",-20.0981144106126,1.64600934114305,-12.2102067760173,2.74191437358298e-34
"dibu",-0.607926137063335,0.0943625182117923,-6.44245351421072,1.17557377035888e-10
"dico",-1.40241728157892,0.184030901152857,-7.62055324835945,2.52590739256901e-14
"diro",-21.7154862751165,2.51332038056355,-8.64015843067621,5.61351230995341e-18
"bio3",-0.034044313000197,0.00698554620418085,-4.87353629982741,1.0961811480102e-06
"bio8",0.0783669265512057,0.00618965142515868,12.6609595869442,9.73026530656467e-37
"bio18",-0.00323353975538127,0.00040893995617736,-7.90712598887954,2.63399019319364e-15
"Intercept",-10.7461780470077,2.07242464053106,-5.18531667537693,2.15648121692619e-07
"slope",-15.4428226948861,2.38536768400678,-6.47398000669912,9.545453786389e-11
"bulk",-0.807861188042987,0.214719893593456,-3.7623956240057,0.000168293551105114
"dico",0.62476823565253,0.113990741928135,5.48086822740757,4.23243636922099e-08
"diri",-9.78400280543272,0.591891139939914,-16.530071402025,2.22879473785631e-61
"diro",4.48597513127171,0.645563595970926,6.94892828416821,3.68071585817875e-12
"bio2",-0.112166946508636,0.00604513494144388,-18.5549119407821,7.44292500198076e-77
"bio3",0.101708356947217,0.00521981100876509,19.4850650294481,1.4699256511698e-84
"bio8",0.0493263810929275,0.00541425656452558,9.1104624439329,8.20315591103269e-20
"bio12",0.00153882024211014,0.000115134665462784,13.3653946526431,9.63227742163126e-41
"bio15",-0.0510715609707623,0.00810448874001336,-6.30163883362717,2.94514805604145e-10
